Call_ID,new_id,Customer_Id,Agent,Date_Of_Call,Time_Of_Call,Resolved,Answered,Topic,Speed_of_answer_in_seconds,Duration,Satisfaction_rating,end_call
1,366817,3668-QPYBK,Diane,1/1/2021,9:12:58 AM,1,1,Contract related,109,2:23,3,9:15:21 AM
2,92378,9237-HQITU,Becky,1/1/2021,9:12:58 AM,0,1,Technical Support,70,4:02,3,9:17:00 AM
3,93053,9305-CDSKC,Stewart,1/1/2021,9:47:31 AM,1,1,Contract related,10,2:11,3,9:49:42 AM
4,789216,7892-POOKP,Greg,1/1/2021,9:47:31 AM,1,1,Contract related,53,0:37,2,9:48:08 AM
5,28024,0280-XJGEX,Becky,1/1/2021,10:00:29 AM,1,1,Payment related,95,1:00,3,10:01:29 AM
6,419013,4190-MFLUW,Stewart,1/1/2021,10:00:29 AM,0,0,Technical Support,,,,10:00:29 AM
7,877917,8779-QRDMV,Diane,1/1/2021,10:22:05 AM,1,1,Payment related,24,3:40,2,10:25:45 AM
8,106610,1066-JKSGK,Diane,1/1/2021,10:22:05 AM,1,1,Payment related,22,0:38,4,10:22:43 AM
9,64673,6467-CHFZW,Greg,1/1/2021,11:13:55 AM,1,1,Admin Support,15,6:38,4,11:20:33 AM
10,866521,8665-UTDHZ,Jim,1/1/2021,11:13:55 AM,1,1,Streaming,78,1:04,3,11:14:59 AM
11,87738,8773-HHUOZ,Joe,1/1/2021,11:15:22 AM,0,0,Payment related,,,,11:15:22 AM
12,604725,6047-YHPVI,Greg,1/1/2021,11:15:22 AM,1,1,Payment related,50,0:32,4,11:15:54 AM
13,538023,5380-WJKOV,Joe,1/1/2021,11:52:48 AM,1,1,Payment related,84,3:34,3,11:56:22 AM
14,816821,8168-UQWWF,Martha,1/1/2021,11:52:48 AM,1,1,Contract related,89,5:44,3,11:58:32 AM
15,776015,7760-OYPDY,Becky,1/1/2021,11:55:41 AM,1,1,Admin Support,48,3:47,4,11:59:28 AM
16,942012,9420-LOJKX,Becky,1/1/2021,11:55:41 AM,1,1,Admin Support,63,5:26,2,12:01:07 PM
17,749515,7495-OOKFY,Greg,1/1/2021,11:57:07 AM,1,1,Technical Support,45,5:32,5,12:02:39 PM
18,16582,1658-BYGOY,Becky,1/1/2021,11:57:07 AM,0,0,Admin Support,,,,11:57:07 AM
19,56982,5698-BQJOH,Jim,1/1/2021,12:01:26 PM,0,0,Streaming,,,,12:01:26 PM
20,591920,5919-TMRGD,Jim,1/1/2021,12:01:26 PM,1,1,Contract related,101,2:27,3,12:03:53 PM
21,919113,9191-MYQKX,Jim,1/1/2021,12:02:53 PM,1,1,Technical Support,74,5:22,5,12:08:15 PM
22,863724,8637-XJIVR,Dan,1/1/2021,12:02:53 PM,1,1,Admin Support,89,5:50,5,12:08:43 PM
23,27825,0278-YXOOG,Martha,1/1/2021,12:02:53 PM,0,0,Technical Support,,,,12:02:53 PM
24,459824,4598-XLKNJ,Joe,1/1/2021,12:02:53 PM,1,1,Technical Support,68,5:25,2,12:08:18 PM
25,319214,3192-NQECA,Diane,1/1/2021,12:30:14 PM,1,1,Streaming,97,4:09,3,12:34:23 PM
