Gender,Age,Married,Dependents,Number of Dependents,newcustomer,Referred a Friend,Number of Referrals,Contract,Customer Status,Churn Score,CLTV,Acquisition Channel,Channel_ID
Male,78,0,0,0,877917,0,0,Month-to-Month,Churned,91,5433,Marketing Campaigns,2
Female,74,1,1,1,749515,1,1,Month-to-Month,Churned,69,5302,Referal,6
Male,71,0,1,3,16582,0,0,Month-to-Month,Churned,81,3179,Marketing Campaigns,2
Female,78,1,1,1,459824,1,1,Month-to-Month,Churned,88,5337,Referal,6
Female,80,1,1,1,484623,1,1,Month-to-Month,Churned,67,2793,Referal,6
Female,72,0,1,1,441225,0,0,Month-to-Month,Churned,95,4638,Marketing Campaigns,2
Female,76,1,1,2,3904,1,1,Month-to-Month,Churned,76,3964,Referal,6
Male,66,1,0,0,34458,1,6,Month-to-Month,Churned,91,5444,Referal,6
Female,70,0,1,2,26566,0,0,Month-to-Month,Churned,91,5717,Marketing Campaigns,2
Female,77,0,1,2,20706,0,0,Month-to-Month,Churned,81,4419,Marketing Campaigns,2
Female,78,0,1,1,9415,0,0,Month-to-Month,Churned,85,5980,Marketing Campaigns,2
Male,65,0,0,0,994715,0,0,Month-to-Month,Churned,86,4616,Marketing Campaigns,2
Male,77,1,0,0,951410,1,1,Month-to-Month,Churned,65,5828,Referal,6
Male,67,0,0,0,727320,0,0,Month-to-Month,Churned,96,2314,Marketing Campaigns,2
Male,68,0,0,0,360620,0,0,Month-to-Month,Churned,84,2494,Marketing Campaigns,2
Female,68,0,0,0,43857,0,0,Month-to-Month,Churned,81,3810,Marketing Campaigns,2
Male,66,0,0,0,348816,0,0,Month-to-Month,Churned,80,4345,Marketing Campaigns,2
Male,69,0,0,0,75342,0,0,Month-to-Month,Churned,91,2018,Marketing Campaigns,2
Female,74,0,0,0,809812,0,0,Month-to-Month,Churned,85,3677,Marketing Campaigns,2
Male,76,1,0,0,2655,1,2,Month-to-Month,Churned,69,4105,Referal,6
Male,77,1,0,0,284024,1,1,Month-to-Month,Churned,73,2212,Referal,6
Female,70,0,0,0,502026,0,0,One Year,Churned,83,4149,Marketing Campaigns,2
Female,74,0,0,0,580412,0,0,Month-to-Month,Churned,73,2671,Marketing Campaigns,2
Female,77,0,0,0,6239,0,0,Month-to-Month,Churned,90,4778,Marketing Campaigns,2
Male,71,1,0,0,905713,0,0,Month-to-Month,Churned,91,2927,Marketing Campaigns,2
Male,79,1,0,0,489520,1,1,Month-to-Month,Churned,80,5888,Referal,6
Female,66,1,0,0,5332,1,2,Month-to-Month,Churned,91,5502,Referal,6
Male,77,0,0,0,3347,0,0,Month-to-Month,Churned,73,2818,Marketing Campaigns,2
Female,80,0,0,0,556414,0,0,Month-to-Month,Churned,67,4902,Marketing Campaigns,2
Female,77,0,0,0,623522,0,0,Month-to-Month,Churned,89,4099,Marketing Campaigns,2
Female,77,0,0,0,56093,0,0,Month-to-Month,Churned,87,2666,Marketing Campaigns,2
Female,72,1,0,0,595622,1,4,Month-to-Month,Churned,82,5273,Referal,6
Female,80,1,0,0,25726,1,2,Month-to-Month,Churned,91,4517,Referal,6
Female,74,0,0,0,286520,0,0,Month-to-Month,Churned,74,5808,Marketing Campaigns,2
Female,68,0,0,0,51925,0,0,Month-to-Month,Churned,66,4880,Marketing Campaigns,2
Female,78,1,0,0,341919,1,3,Month-to-Month,Churned,91,4196,Referal,6
Male,75,1,0,0,455425,1,3,Month-to-Month,Churned,96,5059,Referal,6
Male,77,1,0,0,50992,1,1,Month-to-Month,Churned,65,2728,Referal,6
Male,80,1,0,0,49135,0,0,One Year,Churned,91,6268,Marketing Campaigns,2
Male,75,1,0,0,16265,1,7,Month-to-Month,Churned,84,5604,Referal,6
Female,69,0,0,0,564416,0,0,Month-to-Month,Churned,80,2065,Marketing Campaigns,2
Female,74,0,0,0,41601,0,0,Month-to-Month,Churned,83,5432,Marketing Campaigns,2
Male,76,0,0,0,8238,0,0,Month-to-Month,Churned,90,5597,Marketing Campaigns,2
Male,69,0,0,0,674,0,0,Month-to-Month,Churned,95,3475,Marketing Campaigns,2
