Zip Code;Population
90001;54,492
90002;44,586
90003;58,198
90004;67,852
90005;43,019
90006;62,784
90007;45,025
90008;30,852
90010;1,957
90011;101,215
90012;30,596
90013;9,732
90014;3,524
90015;15,140
90016;46,984
90017;20,692
90018;47,143
90019;67,520
90020;42,394
90021;3,012
90022;68,701
90023;47,487
90024;44,150
90025;41,175
90026;73,686
90027;48,727
90028;30,568
90029;41,713
90031;38,415
90032;46,960
90033;49,431
90034;58,218
90035;27,799
90036;32,901
90037;56,709
90038;32,562
90039;29,310
90040;9,805
90041;27,866
90042;64,672
90043;44,764
90044;87,383
90045;39,334
90046;49,839
90047;47,107
90048;21,739
90049;33,523
90056;8,115
90057;44,004
90058;3,642
90059;38,128
90061;24,511
90062;29,299
90063;55,668
90064;24,505
90065;47,534
90066;55,204
90067;2,527
90068;21,728
90069;20,408
90071;21
90077;10,470
90201;105,285
90210;21,397
90211;8,321
90212;11,355
90220;47,305
90221;51,387
90222;29,825
90230;31,963
90232;15,195
90240;24,908
90241;40,152
90242;42,459
90245;16,041
90247;47,758
90248;9,960
90249;26,442
90250;93,315
90254;18,693
90255;78,114
90260;33,300
90262;69,850
90263;11
90265;19,630
90266;33,758
90270;28,094
90272;22,548
90274;24,979
90275;41,263
90277;34,191
90278;37,322
90280;96,267
90290;5,451
90291;31,021
90292;18,058
90293;11,264
90301;37,527
90302;30,779
90303;27,778
90304;28,680
90305;13,779
90401;5,221
90402;11,509
90403;23,559
90404;19,975
90405;26,099
90501;40,705
90502;17,058
90503;41,979
90504;31,678
90505;34,873
90601;32,050
90602;26,265
90603;19,109
90604;37,887
90605;38,181
90606;32,148
90620;44,442
90621;33,528
90623;15,505
90630;47,344
90631;67,354
90638;47,568
90640;62,425
90650;103,214
90660;63,288
90670;16,271
90680;29,694
90701;16,398
90703;51,556
90704;3,699
90706;72,893
90710;24,660
90712;30,173
90713;27,563
90715;20,890
90716;14,852
90717;21,065
90720;21,343
90723;55,306
90731;58,639
90732;21,279
90740;24,180
90742;1,107
90743;174
90744;53,323
90745;55,486
90746;25,566
90802;38,427
90803;31,352
90804;43,467
90805;91,664
90806;49,647
90807;31,556
90808;37,417
90810;35,656
90813;63,136
90814;19,034
90815;38,902
90822;425
91001;36,243
91006;30,028
91007;30,933
91010;27,414
91011;20,200
91016;41,067
91020;7,527
91024;10,558
91030;23,984
91040;18,752
91042;26,753
91101;16,812
91103;27,891
91104;38,460
91105;10,253
91106;23,742
91107;32,369
91108;13,158
91201;23,981
91202;21,990
91203;14,493
91204;17,015
91205;41,390
91206;31,297
91207;9,864
91208;16,910
91214;29,110
91301;25,303
91302;23,661
91303;23,519
91304;49,242
91306;43,857
91307;23,637
91311;35,325
91316;27,614
91320;37,779
91321;30,742
91324;25,751
91325;32,307
91326;28,067
91331;97,318
91335;68,018
91340;33,389
91342;81,986
91343;57,017
91344;48,867
91345;17,112
91350;40,077
91351;59,259
91352;46,639
91354;17,846
91355;24,977
91356;27,424
91360;42,526
91361;18,735
91362;33,057
91364;25,988
91367;36,123
91377;14,814
91381;9,937
91384;22,177
91401;40,376
91402;66,249
91403;22,085
91405;51,348
91406;50,047
91411;23,646
91423;29,387
91436;13,129
91501;18,112
91502;11,517
91504;25,882
91505;29,245
91506;18,539
91601;36,625
91602;16,996
91604;26,157
91605;57,146
91606;45,358
91607;27,453
91701;39,064
91702;57,775
91706;76,890
91709;66,754
91710;75,319
91711;34,716
91722;33,817
91723;17,554
91724;25,068
91730;51,970
91731;30,211
91732;62,660
91733;45,645
91737;23,079
91739;12,937
91740;25,135
91741;24,973
91743;13
91744;84,965
91745;53,686
91746;30,802
91748;46,342
91750;35,530
91752;18,980
91754;33,280
91755;26,933
91759;47
91761;56,280
91762;54,254
91763;34,447
91764;49,474
91765;46,532
91766;69,974
91767;46,626
91768;36,057
91770;61,623
91773;33,878
91775;23,444
91776;38,041
91780;32,718
91784;23,331
91786;48,827
91789;45,118
91790;44,099
91791;30,458
91792;31,622
91801;54,382
91803;30,635
91901;16,486
91902;17,389
91905;1,509
91906;3,133
91910;74,025
91911;71,126
91913;12,884
91914;2,606
91915;9,278
91916;1,587
91917;727
91931;796
91932;26,662
91934;699
91935;8,759
91941;44,652
91942;24,005
91945;24,961
91948;81
91950;62,355
91962;1,604
91963;905
91977;56,100
91978;7,863
91980;91
92003;3,849
92004;2,863
92007;10,375
92008;35,582
92009;43,161
92014;13,945
92019;40,995
92020;55,277
92021;61,872
92024;47,126
92025;49,281
92026;43,436
92027;48,690
92028;42,239
92029;17,944
92036;3,577
92037;42,617
92040;42,277
92054;98,239
92056;52,895
92057;46,893
92059;1,831
92060;234
92061;2,615
92064;47,969
92065;33,104
92066;339
92067;7,615
92069;52,664
92070;1,143
92071;53,510
92075;12,173
92078;6,760
92082;14,575
92083;62,036
92084;44,692
92086;1,205
92091;1,072
92101;27,505
92102;47,140
92103;30,202
92104;47,689
92105;73,006
92106;18,525
92107;27,959
92108;11,650
92109;46,086
92110;24,169
92111;46,828
92113;47,431
92114;66,838
92115;56,887
92116;33,083
92117;51,213
92118;24,093
92119;21,866
92120;25,569
92121;4,258
92122;34,902
92123;25,232
92124;30,206
92126;74,232
92127;20,046
92128;42,733
92129;47,224
92130;28,201
92131;29,283
92139;36,351
92154;68,776
92173;28,488
92201;56,307
92203;2,743
92210;3,873
92211;19,702
92220;25,859
92223;17,721
92225;24,659
92227;23,394
92230;2,355
92231;27,804
92233;7,857
92234;43,141
92236;23,170
92239;964
92240;22,796
92241;5,529
92242;1,564
92243;43,712
92249;3,535
92250;8,062
92251;14,546
92252;8,141
92253;23,971
92254;8,768
92256;3,499
92257;2,753
92258;732
92259;471
92260;29,340
92262;24,924
92264;18,884
92266;291
92267;131
92268;354
92270;12,465
92273;1,632
92274;17,018
92275;799
92276;6,242
92277;17,178
92278;14,104
92280;50
92281;2,388
92282;805
92283;3,663
92284;20,486
92285;2,182
92301;18,980
92304;42
92305;301
92307;31,876
92308;28,819
92309;904
92310;9,465
92311;31,293
92313;11,024
92314;9,899
92315;5,447
92316;25,995
92317;2,150
92318;227
92320;7,334
92321;455
92323;40
92324;52,202
92325;10,484
92327;678
92328;443
92332;115
92333;414
92335;82,630
92336;54,586
92337;29,847
92338;23
92339;958
92341;317
92342;4,948
92345;68,515
92346;48,245
92347;1,933
92352;9,793
92354;18,068
92356;5,256
92358;1,090
92359;7,324
92363;5,488
92364;162
92365;2,899
92368;909
92371;12,463
92372;4,280
92373;31,230
92374;36,675
92376;75,882
92377;18,518
92382;5,395
92384;87
92386;1,834
92389;117
92392;63,235
92394;12,083
92397;4,253
92398;1,195
92399;41,575
92401;1,779
92404;53,636
92405;24,644
92407;49,355
92408;12,149
92410;44,556
92411;23,146
92501;18,999
92503;71,678
92504;46,550
92505;38,446
92506;42,425
92507;48,649
92508;17,147
92509;63,999
92518;1,005
92530;38,519
92532;4,546
92536;2,433
92539;3,745
92543;29,687
92544;39,264
92545;25,694
92548;4,283
92549;3,588
92551;22,983
92553;61,205
92555;12,743
92557;46,214
92561;1,500
92562;36,149
92563;18,311
92567;7,344
92570;36,817
92571;26,357
92582;4,456
92583;21,349
92584;14,068
92585;8,692
92586;18,161
92587;13,151
92590;3,070
92591;25,655
92592;46,171
92595;19,368
92596;4,093
92602;2,762
92604;27,369
92606;17,621
92610;10,936
92612;41,062
92614;22,499
92618;6,301
92620;26,419
92624;7,465
92625;13,422
92626;48,207
92627;62,069
92629;27,730
92630;59,176
92646;56,517
92647;58,764
92648;42,663
92649;32,304
92651;25,206
92653;48,273
92655;8,660
92656;41,237
92657;5,597
92660;28,687
92661;4,242
92662;3,124
92663;22,133
92672;34,946
92673;15,297
92675;34,321
92676;1,859
92677;62,103
92679;32,268
92683;88,230
92688;42,193
92691;46,371
92692;46,227
92694;350
92701;58,157
92703;70,011
92704;91,188
92705;44,117
92706;37,879
92707;62,634
92708;54,548
92780;55,062
92782;17,494
92801;60,553
92802;45,086
92804;81,333
92805;68,802
92806;34,398
92807;36,301
92808;19,629
92821;34,055
92823;1,408
92831;34,592
92832;24,502
92833;46,105
92835;21,157
92840;50,641
92841;31,428
92843;43,491
92844;23,481
92845;15,878
92860;22,443
92861;5,935
92865;18,058
92866;15,396
92867;40,915
92868;23,172
92869;37,916
92870;48,170
92879;44,875
92880;16,998
92881;21,911
92882;60,294
92883;13,188
92886;39,458
92887;20,893
93001;32,899
93003;46,894
93004;27,381
93010;42,853
93012;24,945
93013;17,409
93015;16,013
93021;32,984
93022;6,503
93023;21,633
93030;79,736
93033;77,791
93035;25,322
93040;1,459
93041;25,634
93060;32,511
93063;49,027
93065;64,802
93066;2,966
93067;576
93101;31,727
93103;20,893
93105;25,771
93108;12,741
93109;10,986
93110;15,757
93111;16,477
93117;49,975
93201;1,054
93202;2,872
93203;16,206
93204;14,697
93205;1,954
93206;2,078
93207;226
93208;191
93210;18,036
93212;23,506
93215;37,280
93216;4,425
93218;823
93219;9,318
93221;13,333
93222;1,526
93223;8,644
93224;626
93225;4,498
93226;296
93230;53,204
93234;6,918
93235;4,517
93238;1,873
93239;1,809
93240;5,564
93241;15,364
93242;2,900
93243;1,247
93244;293
93245;30,419
93247;15,508
93249;2,502
93250;10,781
93251;302
93252;4,357
93254;798
93255;655
93256;4,198
93257;65,566
93260;266
93261;2,956
93262;56
93263;15,177
93265;3,546
93266;1,729
93267;5,689
93268;14,937
93270;5,868
93271;2,318
93272;2,951
93274;56,101
93276;236
93277;44,741
93280;22,760
93282;63
93283;1,935
93285;2,515
93286;8,870
93287;88
93291;36,718
93292;30,395
93301;12,963
93304;44,588
93305;35,643
93306;53,481
93307;59,195
93308;44,915
93309;58,632
93311;20,440
93312;40,836
93313;25,126
93401;27,047
93402;14,859
93405;31,982
93420;24,499
93422;29,539
93424;812
93426;1,363
93427;4,644
93428;6,526
93429;210
93430;3,220
93432;1,203
93433;13,106
93434;5,726
93435;28
93436;51,737
93437;6,165
93440;1,328
93441;1,317
93442;10,909
93444;15,405
93445;7,435
93446;35,586
93447;804
93449;8,564
93450;670
93451;2,666
93452;471
93453;2,687
93454;30,540
93455;37,364
93458;43,684
93460;5,710
93461;1,255
93463;7,958
93465;7,918
93501;4,882
93505;8,316
93510;7,831
93512;340
93513;1,826
93514;13,309
93516;2,241
93517;826
93518;1,022
93522;64
93523;7,685
93526;734
93527;2,213
93528;207
93529;618
93530;71
93531;1,436
93532;2,771
93534;35,109
93535;57,794
93536;49,309
93541;504
93543;11,198
93544;1,220
93545;1,910
93546;8,217
93549;318
93550;67,232
93551;34,045
93552;25,370
93553;1,613
93554;117
93555;29,782
93560;14,931
93561;25,805
93562;1,991
93563;413
93591;6,787
93601;1,968
93602;3,464
93603;273
93604;613
93605;273
93606;807
93608;1,766
