new_customer_id,Tenure Months,Churn Label,churn_date
366817,2,Yes,1/1/2013
92378,2,Yes,1/2/2013
93053,8,Yes,1/3/2013
789216,28,Yes,1/4/2013
028024,49,Yes,1/5/2013
419013,10,Yes,1/6/2013
877917,1,Yes,1/7/2013
106610,1,Yes,1/8/2013
64673,47,Yes,1/9/2013
866521,1,Yes,1/10/2013
87738,17,Yes,1/11/2013
604725,5,Yes,1/12/2013
538023,34,Yes,1/13/2013
816821,11,Yes,1/14/2013
776015,2,Yes,1/15/2013
942012,15,Yes,1/16/2013
749515,8,Yes,1/17/2013
16582,18,Yes,1/18/2013
56982,9,Yes,1/19/2013
591920,1,Yes,1/20/2013
919113,7,Yes,1/21/2013
863724,12,Yes,1/22/2013
027825,5,Yes,1/23/2013
459824,25,Yes,1/24/2013
319214,68,Yes,1/25/2013
04868,55,Yes,1/26/2013
484623,37,Yes,1/27/2013
529918,10,Yes,1/28/2013
040419,3,Yes,1/29/2013
441225,27,Yes,1/30/2013
620723,25,Yes,1/31/2013
30916,1,Yes,2/1/2013
23728,2,Yes,2/2/2013
03904,1,Yes,2/3/2013
408015,8,Yes,2/4/2013
213518,1,Yes,2/5/2013
38745,7,Yes,2/6/2013
086713,20,Yes,2/7/2013
33762,4,Yes,2/8/2013
34458,58,Yes,2/9/2013
187517,2,Yes,2/10/2013
069110,53,Yes,2/11/2013
26566,15,Yes,2/12/2013
20706,7,Yes,2/13/2013
631725,1,Yes,2/14/2013
936723,8,Yes,2/15/2013
191826,13,Yes,2/16/2013
10247,1,Yes,2/17/2013
247215,6,Yes,2/18/2013
128515,1,Yes,2/19/2013
78255,19,Yes,2/20/2013
784120,2,Yes,2/21/2013
940819,4,Yes,2/22/2013
074213,4,Yes,2/23/2013
22324,1,Yes,2/24/2013
893718,1,Yes,2/25/2013
125111,2,Yes,2/26/2013
009415,11,Yes,2/27/2013
994715,15,Yes,2/28/2013
032225,1,Yes,3/1/2013
462914,2,Yes,3/2/2013
951410,1,Yes,3/3/2013
495910,2,Yes,3/4/2013
727320,3,Yes,3/5/2013
360620,13,Yes,3/6/2013
63231,59,Yes,3/7/2013
43857,16,Yes,3/8/2013
636626,1,Yes,3/9/2013
59401,1,Yes,3/10/2013
643220,5,Yes,3/11/2013
44847,52,Yes,3/12/2013
951221,18,Yes,3/13/2013
558319,1,Yes,3/14/2013
348816,8,Yes,3/15/2013
358018,10,Yes,3/16/2013
75342,24,Yes,3/17/2013
63904,1,Yes,3/18/2013
809812,4,Yes,3/19/2013
02655,32,Yes,3/20/2013
75632,5,Yes,3/21/2013
232115,38,Yes,3/22/2013
284024,24,Yes,3/23/2013
502026,54,Yes,3/24/2013
580412,2,Yes,3/25/2013
012215,7,Yes,3/26/2013
286819,2,Yes,3/27/2013
432218,68,Yes,3/28/2013
668014,43,Yes,3/29/2013
13435,63,Yes,3/30/2013
20347,2,Yes,3/31/2013
021925,4,Yes,4/1/2013
06239,21,Yes,4/2/2013
45724,10,Yes,4/3/2013
905713,27,Yes,4/4/2013
10104,5,Yes,4/5/2013
02597,2,Yes,4/6/2013
96012,25,Yes,4/7/2013
690514,1,Yes,4/8/2013
516726,1,Yes,4/9/2013
489520,11,Yes,4/10/2013
05332,55,Yes,4/11/2013
65993,34,Yes,4/12/2013
097916,69,Yes,4/13/2013
480022,1,Yes,4/14/2013
79893,1,Yes,4/15/2013
03347,3,Yes,4/16/2013
057819,22,Yes,4/17/2013
556414,1,Yes,4/18/2013
906326,61,Yes,4/19/2013
295712,12,Yes,4/20/2013
775224,60,Yes,4/21/2013
411016,1,Yes,4/22/2013
025612,28,Yes,4/23/2013
088020,4,Yes,4/24/2013
381122,7,Yes,4/25/2013
464021,13,Yes,4/26/2013
35835,1,Yes,4/27/2013
93991,1,Yes,4/28/2013
235911,24,Yes,4/29/2013
030610,5,Yes,4/30/2013
62278,15,Yes,5/1/2013
04472,48,Yes,5/2/2013
594924,8,Yes,5/3/2013
837210,1,Yes,5/4/2013
03885,2,Yes,5/5/2013
820515,22,Yes,5/6/2013
623522,5,Yes,5/7/2013
778325,12,Yes,5/8/2013
56093,20,Yes,5/9/2013
72188,2,Yes,5/10/2013
463617,6,Yes,5/11/2013
595622,5,Yes,5/12/2013
94127,40,Yes,5/13/2013
025726,27,Yes,5/14/2013
682521,23,Yes,5/15/2013
839713,34,Yes,5/16/2013
92829,1,Yes,5/17/2013
134210,10,Yes,5/18/2013
281714,13,Yes,5/19/2013
69869,39,Yes,5/20/2013
53017,32,Yes,5/21/2013
093925,35,Yes,5/22/2013
47106,56,Yes,5/23/2013
121822,12,Yes,5/24/2013
36276,1,Yes,5/25/2013
286520,4,Yes,5/26/2013
51925,1,Yes,5/27/2013
071919,12,Yes,5/28/2013
341919,65,Yes,5/29/2013
65433,9,Yes,5/30/2013
476515,9,Yes,5/31/2013
10099,7,Yes,6/1/2013
455425,49,Yes,6/2/2013
50992,43,Yes,6/3/2013
720718,65,Yes,6/4/2013
49135,56,Yes,6/5/2013
01959,10,Yes,6/6/2013
458020,43,Yes,6/7/2013
09705,1,Yes,6/8/2013
16265,20,Yes,6/9/2013
08878,1,Yes,6/10/2013
564416,2,Yes,6/11/2013
95761,3,Yes,6/12/2013
20242,1,Yes,6/13/2013
41601,8,Yes,6/14/2013
446410,2,Yes,6/15/2013
565022,4,Yes,6/16/2013
75387,2,Yes,6/17/2013
38593,4,Yes,6/18/2013
32768,1,Yes,6/19/2013
08238,52,Yes,6/20/2013
08227,2,Yes,6/21/2013
144816,1,Yes,6/22/2013
00674,2,Yes,6/23/2013
227625,3,Yes,6/24/2013
589614,3,Yes,6/25/2013
713322,25,Yes,6/26/2013
102917,1,Yes,6/27/2013
495225,4,Yes,6/28/2013
15891,3,Yes,6/29/2013
52449,33,Yes,6/30/2013
26845,30,Yes,7/1/2013
64397,45,Yes,7/2/2013
513823,10,Yes,7/3/2013
668322,20,Yes,7/4/2013
218923,15,Yes,7/5/2013
18949,22,Yes,7/6/2013
737916,3,Yes,7/7/2013
02368,15,Yes,7/8/2013
39001,1,Yes,7/9/2013
584216,5,Yes,7/10/2013
203724,33,Yes,7/11/2013
731415,2,Yes,7/12/2013
03223,2,Yes,7/13/2013
46784,1,Yes,7/14/2013
06919,46,Yes,7/15/2013
300910,62,Yes,7/16/2013
14507,10,Yes,7/17/2013
31382,6,Yes,7/18/2013
42894,40,Yes,7/19/2013
182020,1,Yes,7/20/2013
223910,58,Yes,7/21/2013
485318,70,Yes,7/22/2013
627525,2,Yes,7/23/2013
011520,21,Yes,7/24/2013
231117,16,Yes,7/25/2013
36431,7,Yes,7/26/2013
310415,60,Yes,7/27/2013
91012,50,Yes,7/28/2013
923126,4,Yes,7/29/2013
698219,1,Yes,7/30/2013
07272,55,Yes,7/31/2013
103826,12,Yes,8/1/2013
302726,1,Yes,8/2/2013
23822,62,Yes,8/3/2013
220714,1,Yes,8/4/2013
094713,20,Yes,8/5/2013
99448,3,Yes,8/6/2013
412413,22,Yes,8/7/2013
367119,4,Yes,8/8/2013
331317,59,Yes,8/9/2013
507323,60,Yes,8/10/2013
020713,15,Yes,8/11/2013
985111,10,Yes,8/12/2013
39082,6,Yes,8/13/2013
754913,63,Yes,8/14/2013
380418,50,Yes,8/15/2013
922712,1,Yes,8/16/2013
431513,12,Yes,8/17/2013
973425,9,Yes,8/18/2013
27192,17,Yes,8/19/2013
078112,9,Yes,8/20/2013
190721,10,Yes,8/21/2013
65135,1,Yes,8/22/2013
70749,3,Yes,8/23/2013
962517,13,Yes,8/24/2013
475026,4,Yes,8/25/2013
64002,6,Yes,8/26/2013
668023,3,Yes,8/27/2013
70284,35,Yes,8/28/2013
420821,2,Yes,8/29/2013
944818,1,Yes,8/30/2013
911719,1,Yes,8/31/2013
988920,8,Yes,9/1/2013
454118,7,Yes,9/2/2013
315813,2,Yes,9/3/2013
729420,1,Yes,9/4/2013
89196,44,Yes,9/5/2013
283410,71,Yes,9/6/2013
587525,1,Yes,9/7/2013
664617,62,Yes,9/8/2013
86039,1,Yes,9/9/2013
936924,33,Yes,9/10/2013
38429,35,Yes,9/11/2013
664124,34,Yes,9/12/2013
13744,4,Yes,9/13/2013
83575,7,Yes,9/14/2013
198916,27,Yes,9/15/2013
95245,18,Yes,9/16/2013
699315,2,Yes,9/17/2013
881824,32,Yes,9/18/2013
469522,18,Yes,9/19/2013
38639,12,Yes,9/20/2013
482218,8,Yes,9/21/2013
84362,26,Yes,9/22/2013
418420,3,Yes,9/23/2013
414521,8,Yes,9/24/2013
994825,38,Yes,9/25/2013
123623,14,Yes,9/26/2013
488317,32,Yes,9/27/2013
83299,1,Yes,9/28/2013
127119,12,Yes,9/29/2013
566919,5,Yes,9/30/2013
59819,40,Yes,10/1/2013
694116,5,Yes,10/2/2013
162423,10,Yes,10/3/2013
20747,2,Yes,10/4/2013
037625,23,Yes,10/5/2013
063419,23,Yes,10/6/2013
553618,49,Yes,10/7/2013
61669,2,Yes,10/8/2013
309714,2,Yes,10/9/2013
065518,7,Yes,10/10/2013
43612,41,Yes,10/11/2013
987820,2,Yes,10/12/2013
444114,13,Yes,10/13/2013
89992,11,Yes,10/14/2013
702918,17,Yes,10/15/2013
46073,25,Yes,10/16/2013
882418,3,Yes,10/17/2013
976316,4,Yes,10/18/2013
762710,37,Yes,10/19/2013
40814,19,Yes,10/20/2013
811119,39,Yes,10/21/2013
092712,7,Yes,10/22/2013
825718,14,Yes,10/23/2013
529323,11,Yes,10/24/2013
084114,1,Yes,10/25/2013
785123,2,Yes,10/26/2013
884420,13,Yes,10/27/2013
408625,3,Yes,10/28/2013
58683,1,Yes,10/29/2013
013514,12,Yes,10/30/2013
627015,60,Yes,10/31/2013
010723,1,Yes,11/1/2013
399225,6,Yes,11/2/2013
012512,15,Yes,11/3/2013
839925,21,Yes,11/4/2013
56736,1,Yes,11/5/2013
157911,7,Yes,11/6/2013
392714,53,Yes,11/7/2013
635812,1,Yes,11/8/2013
54948,1,Yes,11/9/2013
98242,17,Yes,11/10/2013
137315,11,Yes,11/11/2013
986617,19,Yes,11/12/2013
989711,3,Yes,11/13/2013
79793,24,Yes,11/14/2013
16183,2,Yes,11/15/2013
31658,1,Yes,11/16/2013
658114,16,Yes,11/17/2013
168913,34,Yes,11/18/2013
58352,3,Yes,11/19/2013
55656,16,Yes,11/20/2013
555226,1,Yes,11/21/2013
222311,15,Yes,11/22/2013
732116,11,Yes,11/23/2013
283319,1,Yes,11/24/2013
75955,1,Yes,11/25/2013
202620,7,Yes,11/26/2013
403022,2,Yes,11/27/2013
41873,46,Yes,11/28/2013
681823,68,Yes,11/29/2013
240820,59,Yes,11/30/2013
91343,7,Yes,12/1/2013
799316,8,Yes,12/2/2013
502724,6,Yes,12/3/2013
456617,11,Yes,12/4/2013
85199,15,Yes,12/5/2013
020115,70,Yes,12/6/2013
337211,16,Yes,12/7/2013
783117,18,Yes,12/8/2013
639323,34,Yes,12/9/2013
659918,47,Yes,12/10/2013
98312,39,Yes,12/11/2013
172513,1,Yes,12/12/2013
003116,4,Yes,12/13/2013
72067,1,Yes,12/14/2013
479117,59,Yes,12/15/2013
176826,1,Yes,12/16/2013
467112,2,Yes,12/17/2013
193419,1,Yes,12/18/2013
383815,66,Yes,12/19/2013
92693,3,Yes,12/20/2013
28458,14,Yes,12/21/2013
118416,10,Yes,12/22/2013
94154,18,Yes,12/23/2013
794318,9,Yes,12/24/2013
379313,13,Yes,12/25/2013
324926,4,Yes,12/26/2013
25682,4,Yes,12/27/2013
772110,59,Yes,12/28/2013
724923,10,Yes,12/29/2013
65678,1,Yes,12/30/2013
31641,5,Yes,12/31/2013
33343,1,Yes,1/1/2014
47045,22,Yes,1/2/2014
862113,34,Yes,1/3/2014
047112,41,Yes,1/4/2014
951818,64,Yes,1/5/2014
54193,4,Yes,1/6/2014
62405,18,Yes,1/7/2014
69608,1,Yes,1/8/2014
702415,2,Yes,1/9/2014
786121,15,Yes,1/10/2014
535720,9,Yes,1/11/2014
06804,15,Yes,1/12/2014
776721,1,Yes,1/13/2014
157119,12,Yes,1/14/2014
95463,2,Yes,1/15/2014
050612,5,Yes,1/16/2014
295117,4,Yes,1/17/2014
347324,16,Yes,1/18/2014
78939,1,Yes,1/19/2014
295217,5,Yes,1/20/2014
476316,4,Yes,1/21/2014
539419,37,Yes,1/22/2014
928312,13,Yes,1/23/2014
707917,24,Yes,1/24/2014
54693,61,Yes,1/25/2014
985117,41,Yes,1/26/2014
98099,22,Yes,1/27/2014
52088,2,Yes,1/28/2014
325425,19,Yes,1/29/2014
266723,8,Yes,1/30/2014
052915,15,Yes,1/31/2014
52409,1,Yes,2/1/2014
10927,17,Yes,2/2/2014
066124,1,Yes,2/3/2014
78815,2,Yes,2/4/2014
576624,29,Yes,2/5/2014
370322,2,Yes,2/6/2014
851917,14,Yes,2/7/2014
632613,8,Yes,2/8/2014
03309,5,Yes,2/9/2014
288611,63,Yes,2/10/2014
423718,1,Yes,2/11/2014
96517,53,Yes,2/12/2014
31862,1,Yes,2/13/2014
063725,16,Yes,2/14/2014
11572,1,Yes,2/15/2014
26605,10,Yes,2/16/2014
767515,3,Yes,2/17/2014
20033,66,Yes,2/18/2014
925418,17,Yes,2/19/2014
120523,7,Yes,2/20/2014
93915,12,Yes,2/21/2014
838713,42,Yes,2/22/2014
276115,2,Yes,2/23/2014
306815,1,Yes,2/24/2014
603211,30,Yes,2/25/2014
745918,15,Yes,2/26/2014
41541,13,Yes,2/27/2014
30929,67,Yes,2/28/2014
801712,23,Yes,3/1/2014
635220,35,Yes,3/2/2014
292917,56,Yes,3/3/2014
126215,9,Yes,3/4/2014
424817,17,Yes,3/5/2014
189922,48,Yes,3/6/2014
469012,17,Yes,3/7/2014
33318,34,Yes,3/8/2014
94904,42,Yes,3/9/2014
544224,11,Yes,3/10/2014
