Customer ID,new customer id,Avg Monthly Long Distance Charges,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,internet_service_id,quota
8779-QRDMV,877917,0,1,DSL,8,0,0,1,0,0,1,0,0,39.65,39.65,0,20,0,1,80
7495-OOKFY,749515,48.85,1,Fiber Optic,17,0,1,0,0,0,0,0,1,80.65,633.3,0,0,390.8,2,80
1658-BYGOY,16582,11.33,1,Fiber Optic,52,0,0,0,0,1,1,1,1,95.45,1752.55,45.61,0,203.94,3,80
4598-XLKNJ,459824,19.76,1,Fiber Optic,12,0,1,1,0,1,1,0,1,98.5,2514.5,13.43,0,494,4,80
4846-WHAFZ,484623,6.33,1,Fiber Optic,14,0,0,0,0,0,0,0,1,76.5,2868.15,0,0,234.21,5,80
4412-YLTKF,441225,3.33,1,Fiber Optic,18,0,0,1,0,0,0,0,0,78.05,2135.5,0,10,89.91,6,80
0390-DCFDQ,3904,15.28,1,Fiber Optic,30,0,0,0,0,0,0,0,1,70.45,70.45,0,0,15.28,7,80
3445-HXXGF,34458,0,1,DSL,24,0,1,1,0,0,1,0,1,45.3,2651.2,40.95,0,0,8,80
2656-FMOKZ,26566,44.07,1,Fiber Optic,19,0,0,0,0,0,0,0,1,74.45,1145.7,0,0,661.05,9,80
2070-FNEXE,20706,26.95,1,Fiber Optic,18,1,0,0,0,0,0,0,0,76.45,503.6,11.05,0,188.65,10,80
0094-OIFMO,9415,11.59,1,Fiber Optic,29,0,1,0,0,1,1,0,0,95,1120.3,0,120,127.49,11,80
9947-OTFQU,994715,29.11,1,Fiber Optic,29,0,1,0,0,0,0,0,1,74.4,1074.3,0,0,436.65,12,80
9514-JDSKI,951410,0,1,DSL,12,0,1,0,0,1,0,0,1,40.2,40.2,0,0,0,13,80
7273-TEFQD,727320,0,1,DSL,28,0,0,1,0,0,1,1,1,41.15,132.2,0,0,0,14,80
3606-TWKGI,360620,32.68,1,Cable,11,0,1,1,0,1,1,0,0,106.9,1364.3,0,10,424.84,15,80
4385-GZQXV,43857,9.43,1,Fiber Optic,9,0,0,0,1,1,1,1,1,94.45,1511.2,0,0,150.88,16,80
3488-PGMQJ,348816,1.78,1,Fiber Optic,7,0,1,0,0,0,0,0,1,74.5,606.55,0,0,14.24,17,80
7534-BFESC,75342,30.87,1,Fiber Optic,15,0,0,0,0,0,0,0,1,76.1,1712.7,0,0,740.88,18,80
8098-LLAZX,809812,31.61,1,Fiber Optic,2,0,0,0,0,1,1,0,1,95.45,396.1,0,0,126.44,19,80
0265-EDXBD,2655,47.34,1,Fiber Optic,10,0,0,0,0,0,0,0,1,74.9,2303.35,0,0,1514.88,20,80
2840-XANRC,284024,16.1,1,Cable,12,0,0,1,0,1,1,1,1,93.15,2231.05,0,0,386.4,21,80
5020-ZSTTY,502026,12.08,1,DSL,5,1,1,0,1,1,1,1,1,82.45,4350.1,0,0,652.32,22,80
5804-LEPIM,580412,13.17,1,Fiber Optic,10,0,0,0,0,0,0,0,1,70.35,139.05,0,0,26.34,23,80
0623-IIHUG,6239,0,1,Cable,8,1,0,0,0,1,0,0,1,41.9,840.1,0,0,0,24,80
9057-MSWCO,905713,0,1,Cable,13,1,0,0,0,0,0,0,0,30.75,805.1,0,140,0,25,80
0533-BNWKF,5332,42.82,1,Fiber Optic,27,0,1,1,0,0,0,0,0,85.45,4874.7,0,90,2355.1,26,80
0334-GDDSO,3347,9.22,1,Fiber Optic,14,0,1,0,0,0,0,0,1,81.35,233.7,0,0,27.66,27,80
5564-NEMQO,556414,35.09,1,Fiber Optic,17,0,0,1,0,0,0,0,0,75.3,75.3,0,20,35.09,28,80
6235-VDHOM,623522,0,1,DSL,26,0,1,0,0,0,0,0,1,28.45,131.05,0,0,0,29,80
5609-CEBID,56093,48.73,1,Fiber Optic,12,0,1,1,0,0,1,0,0,94.1,1782.4,0,80,974.6,30,80
5956-VKDTT,595622,45.76,1,Fiber Optic,22,0,0,0,0,0,0,0,1,74.35,334.8,0,0,228.8,31,80
0257-ZESQC,25726,7.02,1,Cable,25,1,0,0,0,0,0,0,1,75.2,1929.35,0,0,189.54,32,80
2865-TCHJW,286520,48.35,1,Cable,24,0,0,1,0,1,0,0,1,89.2,346.2,0,0,193.4,33,80
5192-EBGOV,51925,45.81,1,Fiber Optic,21,0,0,0,0,1,0,0,1,85.7,85.7,0,0,45.81,34,80
3419-SNJJD,341919,18.39,1,Fiber Optic,28,1,0,1,0,1,1,0,1,105.25,6786.4,0,0,1195.35,35,80
4554-YGZIH,455425,22.92,1,Fiber Optic,14,0,1,0,0,0,1,0,1,90.05,4547.25,0,0,1123.08,36,80
5099-BAILX,50992,14.52,1,Fiber Optic,5,0,1,1,1,1,1,0,1,110.75,4687.9,0,0,624.36,37,80
4913-EHYUI,49135,48.8,1,Fiber Optic,12,1,0,1,0,1,1,0,1,104.55,5794.65,0,0,2732.8,38,80
1626-ERCMM,16265,5.31,1,Fiber Optic,10,0,0,0,0,1,1,1,1,94.55,1899.65,0,0,106.2,39,80
5644-PDMZC,564416,47.47,1,Fiber Optic,19,0,1,0,0,0,1,1,1,89.5,161.5,0,0,94.94,40,80
0823-HSCDJ,8238,0,1,DSL,18,0,1,0,0,1,1,1,0,49.15,2550.9,0,30,0,41,80
0067-DKWBL,674,43.99,1,DSL,27,1,0,0,0,0,0,0,1,49.25,91.1,0,0,87.98,42,80
5244-IRFIH,52449,27.78,1,Fiber Optic,8,0,0,0,0,1,1,0,1,94.5,3105.55,0,0,916.74,43,80
2684-EIWEO,26845,45.88,1,Fiber Optic,19,1,1,1,0,0,0,0,1,91.7,2758.15,0,0,1376.4,44,80
6683-VLCTZ,668322,44.44,1,Fiber Optic,13,0,0,1,0,1,1,0,0,98.55,1842.8,0,120,888.8,45,80
0691-IFBQW,6919,2.37,1,Fiber Optic,20,1,1,1,0,1,1,1,1,110,4874.8,0,0,109.02,46,80
3643-AHCFP,36431,21.91,1,Cable,11,0,0,0,0,1,1,0,1,95.6,644.35,0,0,153.37,47,80
9231-ZJYAM,923126,36.93,1,Fiber Optic,18,0,0,0,0,1,0,0,1,78.85,292.8,0,0,147.72,48,80
0727-BMPLR,7272,37.38,1,Fiber Optic,7,0,0,1,0,1,1,1,0,100,5509.3,0,100,2055.9,49,80
0947-MUGVO,94713,5.37,1,Fiber Optic,24,0,1,0,0,0,0,0,1,73.65,1463.5,0,0,107.4,50,80
0781-LKXBR,78112,48.71,1,Fiber Optic,15,0,0,1,0,1,1,1,1,100.5,918.6,0,0,438.39,51,80
1907-UBQFC,190721,5.46,1,Fiber Optic,24,0,1,0,0,0,0,0,0,72.85,688.65,0,30,54.6,52,80
6513-EECDB,65135,36.92,1,Fiber Optic,6,0,0,0,0,0,0,0,1,73.55,73.55,0,0,36.92,53,80
7074-IEVOJ,70749,41.9,1,Fiber Optic,11,0,1,0,0,0,0,0,1,79.4,205.05,0,0,125.7,54,80
4750-ZRXIU,475026,6.68,1,Cable,17,0,0,0,0,0,1,0,1,84.6,360.1,0,0,26.72,55,80
7028-DVOIQ,70284,20.83,1,Fiber Optic,19,0,0,1,0,1,1,0,0,99.05,3395.8,0,120,729.05,56,80
