new_id,Customer ID,Country,State,City,Zip Code,Lat Long,Latitude,Longitude
877917,8779-QRDMV,United States,California,Los Angeles,90022,"34.02381, -118.156582",34.023810,-118.156582
749515,7495-OOKFY,United States,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237
16582,1658-BYGOY,United States,California,Los Angeles,90065,"34.108833, -118.229715",34.108833,-118.229715
459824,4598-XLKNJ,United States,California,Inglewood,90303,"33.936291, -118.332639",33.936291,-118.332639
484623,4846-WHAFZ,United States,California,Whittier,90602,"33.972119, -118.020188",33.972119,-118.020188
441225,4412-YLTKF,United States,California,Pico Rivera,90660,"33.989524, -118.089299",33.989524,-118.089299
3904,0390-DCFDQ,United States,California,Los Alamitos,90720,"33.79499, -118.065591",33.794990,-118.065591
34458,3445-HXXGF,United States,California,Sierra Madre,91024,"34.168686, -118.057505",34.168686,-118.057505
26566,2656-FMOKZ,United States,California,Pasadena,91106,"34.139402, -118.128658",34.139402,-118.128658
20706,2070-FNEXE,United States,California,Pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353
9415,0094-OIFMO,United States,California,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022
994715,9947-OTFQU,United States,California,Covina,91722,"34.097345, -117.906736",34.097345,-117.906736
951410,9514-JDSKI,United States,California,El Monte,91732,"34.074492, -118.01462",34.074492,-118.014620
727320,7273-TEFQD,United States,California,La Puente,91746,"34.038983, -117.991372",34.038983,-117.991372
360620,3606-TWKGI,United States,California,Rowland Heights,91748,"33.976753, -117.897367",33.976753,-117.897367
43857,4385-GZQXV,United States,California,Ontario,91764,"34.074087, -117.605618",34.074087,-117.605618
348816,3488-PGMQJ,United States,California,Alpine,91901,"32.827184, -116.703729",32.827184,-116.703729
75342,7534-BFESC,United States,California,San Diego,92122,"32.85723, -117.209754",32.857230,-117.209774
809812,8098-LLAZX,United States,California,San Diego,92122,"32.85723, -117.209756",32.857230,-117.209774
2655,0265-EDXBD,United States,California,San Diego,92122,"32.85723, -117.209757",32.857230,-117.209774
284024,2840-XANRC,United States,California,San Diego,92122,"32.85723, -117.209760",32.857230,-117.209774
502026,5020-ZSTTY,United States,California,San Diego,92122,"32.85723, -117.209761",32.857230,-117.209774
580412,5804-LEPIM,United States,California,San Diego,92122,"32.85723, -117.209762",32.857230,-117.209774
6239,0623-IIHUG,United States,California,San Diego,92122,"32.85723, -117.209770",32.857230,-117.209774
905713,9057-MSWCO,United States,California,San Diego,92122,"32.85723, -117.209772",32.857230,-117.209774
489520,4895-TMWIR,United States,California,San Diego,92122,"32.85723, -117.209778",32.857230,-117.209774
5332,0533-BNWKF,United States,California,San Diego,92122,"32.85723, -117.209779",32.857230,-117.209774
3347,0334-GDDSO,United States,California,San Diego,92122,"32.85723, -117.209784",32.857230,-117.209774
556414,5564-NEMQO,United States,California,Thermal,92274,"33.53604, -116.119222",33.536040,-116.119222
623522,6235-VDHOM,United States,California,Riverside,92509,"34.004379, -117.447864",34.004379,-117.447864
56093,5609-CEBID,United States,California,Hemet,92544,"33.644585, -116.871544",33.644585,-116.871544
